Configure,Настроить
Collapse,Развернуть
"Your payment is complete","Заказ оплачен"
"You have successfully canceled your order","Ваш заказ отменен"
"Please, check your input and try again!","Пожалуйста, проверьте данные и попробуйте еще раз!"
"Please, check if the used card supports 3-D Secure and you have entered a valid 3-D Secure code! Please try again!","Пожалуйста, проверьте, что на Вашей карте включена услуга 3-D Secure и Вы ввели верный код и пароль 3-D Secure! Попробуйте еще раз!"
"Magento 2 Transaction","Magento 2 операция"
"An error has occurred while processing your request to the gateway","Произошла ошибка во время обработки Вашего запроса"
"All Allowed Currencies","Все валюты"
"Specific Currencies","Указанные валюты"
Authorize,Предавторизация
Payment,Оплата
Bankcard,"Банковская карта"
"Halva bankcard","Банковская карта Халва"
ERIP,ЕРИП
"Exception in webhook processing: %1","Во время обработки уведомления произошла ошибка: %1"
"Order # %1 payment","Оплата заказа # %1"
"Capture transaction for order # %1 cannot be finished (No Authorize Transaction exists)","Операция Списания для заказа # %1 не может быть выполнена (нет операции Предавторизации)"
"Refund transaction for order # %1 cannot be finished (No Capture Transaction exists)","Операция Возврата для заказа # %1 не может быть выполнена (нет операций Оплаты / Списания)"
"Void transaction for order # %1 cannot be finished (No Authorize / Capture Transaction exists)","Операция Аннулирования для заказа # %1 не может быть выполнена (нет операций Предаваторизации / Списания)"
"Billing address is empty.","Адрес пустой."
"3-D Secure: Redirecting customer to a verification page.","3-D Secure: перенаправляем на страницу банка, выпустившего карту."
"Empty 3-D Secure redirect URL","Пустой адрес страницы 3-D Secure"
"Invalid 3-D Secure redirect URL","Невалидный адрес страницы 3-D Secure"
"%1 operation error. Reason: %2","Ошибка операции %1 по причине: %2"
"Order cannot be refunded online.","Возврат денего по заказу в онлайне не возможен."
"Merchant refund","По запросу торговца"
"You will be redirected to our partner's website, where you can safely pay.","Для оплаты Вы будете перенаправлены на защищённую страницу платёжной системы."
"Continue to payment","Перейти к оплате"
beGateway,beGateway
"beGateway Checkout","beGateway Checkout"
"beGateway Direct","beGateway Direct"
"Accept payments through beGateway payment platform","Принимайте платеже через платёжную систему, работающую на платформе beGateway"
"Checkout payment method - receive credit-card payments, without the need of PCI-DSS certificate or HTTPS. Note: Upon checkout, the customer will be redirected to a secure payment form, located on our servers and we will notify you, once the payment reached a final status","Принимайте оплату банковскими картами без сертификации по стандарту PCI DSS или на сайте без сертификата HTTPS. Примечание: во время оплаты клиент будет перенаправлен на защищенную страницу платежной системы. После оплаты вы получите уведомление."
Enabled,Включено
Title,"Имя способа оплаты"
"Shop Id","Id магазина"
"Shop Secret Key","Секретный ключ магазина"
"Checkout Domain","Домен страницы оплаты"
"Your payment service provider checkout domain e.g. checkout.example.com","Домен страницы оплаты Вашей платёжной системы. Например, checkout.example.com"
"Gateway Domain","Домен платежного шлюза"
"Your payment service provider gateway domain e.g. gateway.example.com","Домен платёжного шлюза Вашей платёжной системы. Например, gateway.example.com"
"Transaction Types","Типы операций"
"Select the transaction types that must be attempted during the customer's Checkout session.","Выберите типы операций, доступные во время оплаты."
"The first transaction type that is available will be selected by the gateway.","Первая доступная операция будет выбрана платёжным шлюзом."
"ERIP Service Code","Код услуги ЕРИП"
"New Order Status","Статус нового заказа"
"Select the default order status for new orders.","Выберите статус заказа по умолчанию для новых заказов."
"Payment from Applicable Countries","Оплата доступна для всех стран"
"Payment from Specific Countries","Оплата доступна для выбранных стран"
"Allow Specific Currencies","Разрешить выбранные валюты"
"Define if you wish to enable the method for some of the global allowed currencies.","Задайте, если Вы хотите включить данный способ оплаты для определенных валют."
"Select the currencies, for which you would like to enable payment method.","Выберите валюты, для которых Вы хотите включить данный способ оплаты."
"Hint: You should have in mind that, you'd better allow only the currencies, which can be processed from your configured Merchant-Terminals.","Подсказка: помните, что лучше включить валюты, поддерживаемые Вашим терминалом."
"Minimum Order Total","Минимальная сумма заказа"
"Maximum Order Total","Максимальная сумма заказа"
"Leave empty to disable limit","Оставьте пустым, что выключить лимит"
"Sort Order","Порядок сортировки"
"Enable debug logging","Включить логгирование"
"Enable test mode","Включить тестовый режим"
"Direct payment method - allow customers to enter their CreditCard information on your website. Note: You need PCI-DSS certificate in order to enable this payment method.","Оплата на сайте магазина - разрешить покупателям вводить данные их банковских карт на сайте магазина. Примечание: у Вас должна быть сертификация по стандарту PCI DSS."
